station_id,station_name,latitude,longitude,DFNRD
0_3,virtual_node_0_3,53.47153333333333,4.8661666666666665,33.10736850067841
6251,TERSCHELLING HOORN AWS,53.39126595,5.345801094,0.0
0_5,virtual_node_0_5,53.47153333333333,5.724833333333333,26.729743394935795
6277,LAUWERSOOG AWS,53.4115811,6.199099451,0.0
0_7,virtual_node_0_7,53.47153333333333,6.583500000000001,26.40056689411299
0_8,virtual_node_0_8,53.47153333333333,7.012833333333333,48.09390989518114
1_3,virtual_node_1_3,53.24002666,4.920790708,32.94898533261213
1_4,virtual_node_1_4,53.1514,5.2955000000000005,26.90511697996756
6270,LEEUWARDEN,53.22300049,5.751573889,0.0
1_6,virtual_node_1_6,53.1514,6.154166666666667,28.0667748631581
6280,GRONINGEN AP EELDE,53.12367621,6.584847002,0.0
1_8,virtual_node_1_8,53.19440957,7.149322061,38.56961743229981
2_2,virtual_node_2_2,52.831266666666664,4.4368333333333325,25.50532638796702
6235,DE KOOY VK,52.92686501,4.781145323,0.0
6267,STAVOREN AWS,52.89664391,5.3834789,0.0
6273,MARKNESSE AWS,52.70190239,5.887446167,0.0
2_6,virtual_node_2_6,52.831266666666664,6.154166666666667,23.051233459445815
6279,HOOGEVEEN AWS,52.7490564,6.572970111,0.0
2_8,virtual_node_2_8,52.831266666666664,7.012833333333333,31.052355319429715
3_2,virtual_node_3_2,52.50533389,4.602930059,24.489071488437684
6249,BERKHOUT AWS,52.6426969,4.978757241,0.0
3_4,virtual_node_3_4,52.51113333333333,5.2955000000000005,16.363532502099293
6269,LELYSTAD AP,52.45727049,5.519632403,0.0
3_6,virtual_node_3_6,52.43456176,6.258977033,38.9823612849774
3_7,virtual_node_3_7,52.51113333333333,6.583500000000001,26.485508528967596
3_8,virtual_node_3_8,52.51113333333333,7.012833333333333,27.752730154638616
4_1,virtual_node_4_1,52.191,4.0075,23.599666208591874
6215,VOORSCHOTEN AWS,52.199722,4.436389,0.0
6240,AMSTERDAM/SCHIPHOL AP,52.317222,4.789722,0.0
6260,DE BILT AWS,52.0988218,5.179705864,0.0
6275,DEELEN,52.05486178,5.87232255,0.0
4_6,virtual_node_4_6,52.191,6.154166666666667,24.537410017471455
4_7,virtual_node_4_7,52.06753427,6.656725362,27.92973994594158
6290,TWENTHE AWS,52.27314817,6.890874511,0.0
5_0,virtual_node_5_0,51.870866666666664,3.5781666666666667,39.71132095597203
6330,HOEK VAN HOLLAND AWS,51.99094192,4.121849768,0.0
6344,ROTTERDAM THE HAGUE AP,51.96066736,4.446900511,0.0
6348,CABAUW TOWER AWS,51.96903112,4.9059217,0.0
5_4,virtual_node_5_4,51.85759384,5.145398924,20.622351652407726
5_5,virtual_node_5_5,51.870866666666664,5.724833333333333,22.845029340578265
5_6,virtual_node_5_6,51.870866666666664,6.154166666666667,28.185381391302446
5_7,virtual_node_5_7,51.870866666666664,6.583500000000001,49.47488109289618
5_8,virtual_node_5_8,51.870866666666664,7.012833333333333,45.53577733094247
6310,VLISSINGEN AWS,51.44133406,3.595824158,0.0
6_1,virtual_node_6_1,51.52595651,3.883533739,22.092382955987397
6_2,virtual_node_6_2,51.44774449,4.342014,41.70477230275486
6350,GILZE RIJEN,51.56488902,4.935238634,0.0
6370,EINDHOVEN AP,51.44977246,5.377003928,0.0
6375,VOLKEL,51.65852838,5.706594667,0.0
6_6,virtual_node_6_6,51.49730626,6.196106784,38.38305463070194
7_0,virtual_node_7_0,51.2306,3.5781666666666667,19.765200356925142
6319,WESTDORPE AWS,51.22475751,3.860965721,0.0
7_2,virtual_node_7_2,51.2306,4.4368333333333325,40.23155344611703
7_3,virtual_node_7_3,51.2306,4.8661666666666665,37.500994410864884
7_4,virtual_node_7_4,51.2306,5.2955000000000005,25.036664867290842
6377,ELL AWS,51.1966999,5.762544723,0.0
7_6,virtual_node_7_6,51.2306,6.154166666666667,27.62314596296632
6380,MAASTRICHT AACHEN AP,50.90525626,5.761783485,0.0
8_6,virtual_node_8_6,50.910466666666665,6.154166666666667,27.60495959294826
